#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   8.67  0.01  1.68929  0.971 3.893  4.211  9.50  0.000 0.00 11.842 12.041 12.021 11.801 11.675 11.569 11.453 11.371 11.362  1.689 
 1   8.67  0.47  0.82774 -0.579 3.681  4.604  9.70  0.000 0.00 15.918 18.266 17.349 16.289 15.665 15.192 14.516 13.977 13.910  0.828 
 1   8.69 -0.27  1.63137  1.000 3.920  4.277 13.80  0.000 0.00 16.071 16.241 16.214 16.069 15.995 15.930 15.859 15.812 15.805  1.631 
 1   8.69 -0.17  0.50340 -1.345 3.606  4.856  7.30  0.000 0.00 15.433 18.623 17.586 16.331 15.485 14.748 13.841 13.186 13.053  0.503 
 1   8.71 -0.33  1.66918  1.069 3.934  4.276  9.80  0.000 0.00 11.898 12.060 12.033 11.925 11.874 11.829 11.780 11.749 11.744  1.669 
 1   8.71  0.17  1.12331  0.087 3.769  4.425 10.30  0.000 0.00 14.854 15.716 15.552 14.891 14.516 14.203 13.806 13.492 13.460  1.123 
 1   8.73 -0.17  0.80961 -0.532 3.702  4.633 11.00  0.000 0.00 17.100 18.768 18.246 17.346 16.826 16.397 15.795 15.299 15.241  0.810 
 1   8.73 -0.07  1.33414  0.528 3.831  4.305 13.80  0.000 0.00 17.251 17.583 17.635 17.239 16.990 16.772 16.522 16.325 16.309  1.334 
 1   8.73  0.01  0.46424 -1.475 3.589  4.880  7.50  0.000 0.00 15.957 19.481 18.389 17.099 16.187 15.277 14.286 13.663 13.506  0.464 
 1   8.73  0.13  0.85254 -0.508 3.693  4.597  8.80  0.000 0.00 14.840 16.790 16.099 15.132 14.570 14.126 13.494 12.979 12.919  0.853 
 1   8.73  0.27  0.79091 -0.672 3.668  4.626  9.30  0.000 0.00 15.750 18.213 17.284 16.203 15.549 15.041 14.318 13.729 13.656  0.791 
 1   8.75 -0.17  0.28603 -1.913 3.568  5.024  6.80  0.000 0.00 16.352 20.277 19.050 17.645 16.678 15.680 14.645 14.066 13.864  0.286 
